Andaman & Nicobar Islands; 380.581,00 ; 399.001,00 
Andhra Pradesh; 84.580.777,00 ; 91.702.478,00 
Arunachal Pradesh; 1.383.727,00 ; 1.711.947,00 
Assam; 31.205.576,00 ; 35.998.752,00 
Bihar; 104.099.452,00 ; 128.500.364,00 
Chandigarh; 1.055.450,00 ; 1.158.040,00 
Chhattisgarh; 25.545.198,00 ; 32.199.722,00 
Dadra and Nagar Haveli; 343.709,00 ; 453.008,00 
Daman and Diu; 243.247,00 ; 320.989,00 
Delhi; 16.787.941,00 ; 19.301.096,00 
Goa; 1.458.545,00 ; 1.521.992,00 
Gujarat; 60.439.692,00 ; 70.400.153,00 
Haryana; 25.351.462,00 ; 28.900.667,00 
Himachal Pradesh; 6.864.602,00 ; 7.503.010,00 
Jammu and Kashmir; 12.541.302,00 ; 14.999.397,00 
Jharkhand; 32.988.134,00 ; 40.100.376,00 
Karnataka; 61.095.297,00 ; 69.599.762,00 
Kerala; 33.406.061,00 ; 34.698.876,00 
Lakshadweep; 64.473,00 ; 66.001,00 
Madhya Pradesh; 72.626.809,00 ; 85.002.417,00 
Maharashtra; 112.374.333,00 ; 124.904.071,00 
Manipur; 2.855.794,00 ; 3.436.948,00 
Meghalaya; 2.966.889,00 ; 3.772.103,00 
Mizoram; 1.097.206,00 ; 1.308.967,00 
Nagaland; 1.978.502,00 ; 2.073.074,00 
Orissa; 41.974.218,00 ; 47.099.270,00 
Puducherry; 1.247.953,00 ; 1.646.050,00 
Punjab; 27.743.338,00 ; 30.501.026,00 
Rajasthan; 68.548.437,00 ; 79.502.477,00 
Sikkim; 610.577,00 ; 658.019,00 
Tamil Nadu; 72.147.030,00 ; 83.697.770,00 
Telangana; 35.193.978,00 ; 38.157.311,00 
Tripura; 3.673.917,00 ; 4.184.959,00 
Uttar Pradesh; 199.812.341,00 ; 231.502.578,00 
Uttarakhand; 10.086.292,00 ; 11.700.099,00 
West Bengal; 91.276.115,00 ; 100.896.618,00 
