Andaman Nicobar Islands;380.581;399.001
Andhra Pradesh;84.580.777;91.702.478
Arunachal Pradesh;1.383.727;1.711.947
Assam;31.205.576;35.998.752
Bihar;104.099.452;128.500.364
Chandigarh;1.055.450;1.158.040
Chhattisgarh;25.545.198;32.199.722
Dadra and Nagar Haveli;343.709;453.008
Daman and Diu;243.247;320.989
Delhi;16.787.941;19.301.096
Goa;1.458.545;1.521.992
Gujarat;60.439.692;70.400.153
Haryana;25.351.462;28.900.667
Himachal Pradesh;6.864.602;7.503.010
Jammu and Kashmir;12.541.302;14.999.397
Jharkhand;32.988.134;40.100.376
Karnataka;61.095.297;69.599.762
Kerala;33.406.061;34.698.876
Lakshadweep;64.473;66.001
Madhya Pradesh;72.626.809;85.002.417
Maharashtra;112.374.333;124.904.071
Manipur;2.855.794;3.436.948
Meghalaya;2.966.889;3.772.103
Mizoram;1.097.206;1.308.967
Nagaland;1.978.502;2.073.074
Orissa;41.974.218;47.099.270
Puducherry;1.247.953;1.646.050
Punjab;27.743.338;30.501.026
Rajasthan;68.548.437;79.502.477
Sikkim;610.577;658.019
Tamil Nadu;72.147.030;83.697.770
Telangana;35.193.978;38.157.311
Tripura;3.673.917;4.184.959
Uttar Pradesh;199.812.341;231.502.578
Uttarakhand;10.086.292;11.700.099
West Bengal;91.276.115;100.896.618
